jurisdiction,stability_value,turnover_definition,stability_url,stability_source_type,stability_confidence,stability_scope_flag,stability_source_year,stability_higher_ed_status,stability_fact_check_result,vacancy_value,vacancy_url,vacancy_source_type,vacancy_confidence,vacancy_scope_flag,vacancy_source_year,vacancy_higher_ed_status,vacancy_fact_check_result,tenure_value,tenure_url,tenure_source_type,tenure_confidence,tenure_scope_flag,tenure_source_year,tenure_higher_ed_status,tenure_fact_check_result,workforce_transparency,stability_score,vacancy_score,tenure_score,transparency_score,dimension2_score,Notes
Massachusetts,"FY2025 quarterly turnover 2.5%, 2.0%, 2.3%, 2.2% (no single annual rate published)",unclear,https://www.mass.gov/info-details/state-employee-diversity-dashboard,official_recovered,low,executive_branch_only,2025,excluded,TOOLING-BLOCKED (not confirmed) - native quarterly turnover from MA State Employee Diversity Dashboard (cited in-folder via screenshot token). Could NOT independently verify: mass.gov returns HTTP 403 to curl+Referer AND WebFetch; data.mass.gov exposes no turnover dataset. Confidence low. In-folder 91% retention (estimated 100-x annualization) rejected,NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - in-folder 19.4% averaged three NON-state-workforce sector surveys (MHA hospitals, MTF behavioral-health, DOJ DOC), population_match fail; no state-workforce vacancy figure exists",NOT_PUBLISHED,,not_published,,,,,"TOOLING-BLOCKED NOT_PUBLISHED - dashboard HAS a length-of-service distribution but values unextractable (mass.gov 403). In-folder 15 (2009 NASPE) rejected as STALE. Note: blocked recovery, not confirmed absence","High - MA publishes State Employee Diversity Dashboard (turnover, length of service) + CTHRU payroll; but all endpoints 403'd this run",90.8,,,33.3,70.7,"Two distinct failure modes flagged: stability is TOOLING-BLOCKED verification (low confidence, not unpublished); tenure is TOOLING-BLOCKED NOT_PUBLISHED (distinct from confirmed-absent). Also stability is 4 quarterly rates not one annual figure - weak/uncertain for percentile ranking without aggregation (which edges toward construction)"
Michigan,9.9%,includes_retirements,https://www.michigan.gov/mdcs/-/media/Project/Websites/mdcs/workforce/23-24/45th_AWFR_Complete.pdf,official_recovered,high,classified_only,2024,excluded,VERIFIED - Michigan Civil Service Commission 45th Annual Workforce Report FY2023-24: turnover 9.9% (classified service). Native form; in-folder 90.1% retention (100-9.9) and 17.7% composite vacancy rejected. Bundles voluntary+involuntary+retirements (no voluntary-only breakout),NOT_PUBLISHED,,not_published,,,,,NOT_PUBLISHED - MCSC report has no vacancy/fill table; in-folder 17.7% 'Estimated' weighted composite rejected,11.1 years,https://www.michigan.gov/mdcs/-/media/Project/Websites/mdcs/workforce/23-24/45th_AWFR_Complete.pdf,official_recovered,high,classified_only,2024,excluded,"VERIFIED - same MCSC AWFR: Average Years of Service 11.1 (active classified). MI public universities constitutionally autonomous, excluded","High - MCSC publishes detailed Annual Workforce Report (turnover statewide + by dept, years of service); does NOT publish a vacancy rate",78.9,,75.9,66.7,74.1,Two clean official metrics; higher-ed excluded (autonomous universities outside classified service)
Minnesota,9.2% (voluntary turnover),voluntary_only,https://mn.gov/mmb-stat/workforce-reports/2023.pdf,official_recovered,high,executive_branch_only,FY2023,excluded,"VERIFIED - MMB State of MN Workforce Planning Report FY2023 p.21: total voluntary turnover 9.2% (exec branch). Native form; in-folder 90.8% retention (100-9.2) rejected. MnSCU/U of M separate systems, excluded",NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - MMB gives only counts (postings ~7,742; ~170k applications), no rate (§5); in-folder 10.82% sector-estimate composite (non-state populations) rejected",11.1 years,https://mn.gov/mmb-stat/workforce-reports/2023.pdf,official_recovered,high,executive_branch_only,FY2023,excluded,VERIFIED - MMB FY2023 report: average length of service 11.1 yrs (full-time exec branch). Directly published,Publishes voluntary turnover (w/ breakout) + tenure (MMB Workforce Planning Report); does NOT publish a vacancy rate (counts only),86.8,,75.9,66.7,77.7,Voluntary turnover used (native). Two clean official metrics
Mississippi,NOT_PUBLISHED,,,not_published,,,,,"NOT_PUBLISHED - MSPB FY2025 Annual Report gives separation COUNTS only (resignations 3,176/retirements 490/etc of 24,570 filled); rate construction forbidden (§5). In-folder 80% retention (100-20 conversion, estimated) rejected; DMH 35.4%/MDHS single-agency not statewide. No Reason figure",NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - MSPB gives authorized (29,936) vs filled (24,570) COUNTS only; deriving a rate forbidden (§5). In-folder 19.9% weighted composite rejected; single-agency MDOC/MDH subsets rejected",9 years (average service time),https://www.mspb.ms.gov/sites/mspb/files/2025-12/FY%202025%20Annual%20Report_0.pdf,official_recovered,high,statewide_all_agencies,FY2025,excluded,"VERIFIED - MSPB FY2025 Annual Report: 'Average Service Time: 9 Years'. Native. Universities/IHL outside MSPB purview, higher ed excluded. In-folder 10 (peer estimate) rejected",Partial - MSPB publishes tenure (avg service time) + separation/headcount counts; does NOT publish turnover or vacancy rate (counts only),,,18.5,33.3,23.7,Single-metric (tenure). MSPB vacancy went NOT_PUBLISHED on strict count-reading - SAME situation Maine resolved oppositely (see pending ruling 3). Strict reading is the majority across the run
Missouri,"~20% (turnover, FY2024); trend 29% FY2022",unclear,https://939theeagle.com/update-missouris-governor-unveils-130-million-pay-increase-plan-for-state-employees/,official_via_secondary,medium,statewide_executive_branch (unclear if all agencies),2024,excluded,"PROVISIONAL (pending ruling 1) - statewide turnover ~20% attributed to OA/Division of Personnel but conveyed via Governor's Jan 2025 State-of-the-State + news, not a located OA report (pers.oa.mo.gov dashboard is Tableau, unfetchable). Native form; in-folder 80% retention (100-x) rejected. 29% FY2022 corroborates metric type",NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - OA publishes vacancy COUNTS only (7,512 of ~53,578 FTE, Jul 2022); rate construction forbidden (§5). In-folder 9.1% composite of single-agency subsets rejected",NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - only single-agency MoDOT median 8.3 yrs exists; in-folder used it as statewide (scope mismatch), rejected",Partial - OA/Division of Personnel publicizes turnover via budget docs + gubernatorial addresses (Tableau dashboard); vacancy as counts only; tenure only at agency level,7.9,,,33.3,16.8,"Single-metric (stability), low confidence. gov-data-via-news (pending ruling 1): OA turnover reached only through Governor's address/news, no located OA report PDF. Trend 29%(2022)->20%(2024) is year-difference not a conflict (ruling 2 N/A) | RULING1: stability is official data relayed via secondary source -> official_via_secondary, confidence=medium"
Montana,"15.84% (turnover, 2019)",total_separation,https://web.archive.org/web/20210702033019/https://hr.mt.gov/_docs/Reports/Employee-Profile-2020-Final---02-10-21.pdf,official_recovered,low,executive_branch_only,2019,excluded,VERIFIED via Wayback archive of official MT State Employee Profile (2020 ed.): 'Employee turnover decreased from 15.84 percent in 2019 to 14.68 percent in 2020' - 2019 datapoint used. Includes voluntary+involuntary separations. STALE / out-of-window (2019) -> low confidence.,NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - only single-agency figures (DOC 10.6%, DPHHS 19.6%, MSH 31.6%); in-folder 16.8% overall is a composite with 'assumed' 8-12% components, rejected",11 years,https://web.archive.org/web/20210702033019/https://hr.mt.gov/_docs/Reports/Employee-Profile-2020-Final---02-10-21.pdf,official_recovered,low,executive_branch_only,2019,excluded,"Official MT Employee Profile (2020 ed., Wayback): statewide average years of state service = 11 years; report states it 'remained the same as last year' (2019). STALE / out-of-window -> low confidence.",Historically published stability + tenure (State Employee Profile) but latest edition is 2020 (STALE); no vacancy report. Now effectively rate-poor,31.6,,63.0,66.7,49.7,"FIRST STALE case: stability + tenure are 2020 (outside window) - under methodology STALE is a LABEL not an exclusion, so these would still rank unless recency is enforced (the recency-enforcement question). Source PDF 404s on live fetch | RULING6: stability & tenure EXCLUDED - source PDF (2020 Employee Profile) returns 404 / dead link, unverifiable | HISTORICAL OVERRIDE (user request): recalculated using 2019 data (turnover 15.84%, tenure 11 yrs) from the 2020 Employee Profile via Wayback (live 2020 PDF 404s; 2020-report source permitted as fallback; turnover value is the explicit 2019 figure). STALE (outside 2022-2026 window) - flagged low confidence, NOT directly comparable to other states' 2022-2025 values. Montana leaves Category-3."
Nebraska,18.1%,includes_retirements,https://govdocs.nebraska.gov/epubs/P2000/B004-2024.pdf,official_recovered,high,classified_only (excl Constitutional agencies; excl University/State Colleges),2023,excluded,"VERIFIED - 2024 Nebraska Personnel Almanac p.142 grand-total classified turnover 18.1% (2023, -14% vs 21.0% 2022). Native form. In-folder SoSI MISREAD this as 11.0% and computed 1-turnover retention - both rejected. Alt all-agencies chart ~21.0% noted",NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - Almanac has no vacancy section; in-folder ~11.7% composite blends K-12 teachers + single-agency news counts, rejected",9.5 years,https://govdocs.nebraska.gov/epubs/P2000/B004-2024.pdf,official_recovered,high,statewide_all_agencies (excl University/State Colleges),2023,excluded,VERIFIED - 2024 Almanac p.155 State Average service 9.5 yrs. In-folder ~10 estimate rejected,Publishes turnover + tenure (annual State Personnel Almanac); no vacancy rate,10.5,,29.6,66.7,33.7,In-folder SoSI misreported turnover (11.0% vs real 18.1%) - data-quality catch. Scope caveat: 18.1% classified vs ~21% all-agencies alt reading
Nevada,13.38%,total_separation,https://hr.nv.gov/uploadedFiles/hrnvgov/Content/Home/Features/State%20of%20Nevada%20Workforce%20Report202324.pdf,official_recovered,high,executive_branch_only (classified; NSHE separate),FY2024,excluded,VERIFIED - NV DHRM Workforce Report FY2023-24 p.25: 'Overall Turnover: 13.38%'. Native form; in-folder 86.62% retention (100-x) rejected,16.44%,https://hr.nv.gov/uploadedFiles/hrnvgov/Content/Home/Features/State%20of%20Nevada%20Workforce%20Report202324.pdf,official_recovered,high,statewide (classified),FY2024,excluded,"VERIFIED PRINTED RATE - DHRM report p.25 prints 'Vacancy Rate: 16.44%' verbatim (NOT agent-derived from counts), so high confidence and NO ruling-3 flag (distinct from computed grand-totals). In-folder 17.40% composite rejected. Per-dept projected-vacancy columns not used",10.28 years (headline; classified-only occ. table shows 7.12),https://hr.nv.gov/uploadedFiles/hrnvgov/Content/Home/Features/State%20of%20Nevada%20Workforce%20Report202324.pdf,official_recovered,high,statewide (headline includes unclassified per footnote 2),FY2024,excluded,VERIFIED - FY2024 Workforce Trends table p.3 Average Length of Service 10.28 yrs. SCOPE NOTE: headline includes unclassified; classified-only occ. table (p.5) shows 7.12 - recorded headline as primary. NSHE excluded,"High - NV DHRM publishes annual Workforce Report with headline turnover, vacancy AND tenure. All three published",57.9,50.0,44.4,100.0,69.3,"Full coverage. Vacancy is a PRINTED rate (high) - clarifies ruling-3 boundary: applies only to computed grand-totals (Maine/NH), not printed rates (NV/NM/NC). Tenure scope discrepancy 10.28 vs 7.12 noted"
New Hampshire,9%,total_separation,https://www.das.nh.gov/hr/documents/AnnualReports/2024_DOP_ANNUAL_REPORT-V1.pdf,official_recovered,high,statewide_all_agencies (exec-branch classified),FY2024,excluded,VERIFIED - NH Division of Personnel 2024 Annual Report: 'Statewide Turnover Rate = 9%'. Native form. Live das.nh.gov 403 (Akamai); recovered via Wayback snapshot. USNH excluded,18%,https://www.das.nh.gov/hr/documents/AnnualReports/2024_DOP_ANNUAL_REPORT-V1.pdf,official_recovered,low,statewide_all_agencies (grand total),FY2024,excluded,"BORDERLINE (pending ruling 3) - 'Vacancy Rate by Position Type' table grand total 2,037 vacancies / 11,417 positions = 18%. Computed grand-total division (not a printed headline like NV), so flagged. In-folder sector composites rejected",9.64 years,https://www.das.nh.gov/hr/documents/AnnualReports/2024_DOP_ANNUAL_REPORT-V1.pdf,official_recovered,high,statewide_all_agencies,FY2024,excluded,VERIFIED - 2024 Annual Report 'Average Years of Service = 9.64'. Native published,Publishes all three (NH Division of Personnel Annual Report). Full transparency,90.8,30.6,33.3,100.0,74.8,"PRIOR-AUDIT ERROR REFUTED: earlier audit marked NH's entire D2 'Data Not Published' - that was an Akamai 403 tooling block during collection, NOT real absence. Genuine Wayback recovery flips NH from zero-coverage to FULL coverage. Vacancy 18% is a ruling-3 computed grand-total | RULING3: vacancy rate computed from published counts (grand-total division) -> kept, confidence=low"
New Jersey,"7.8% (FY2025 separation rate; 5,114/65,277)",includes_retirements,https://www.nj.gov/csc/pdfs/State%20Workforce%202025%20-%2011.12.25.pdf,official_recovered,high,statewide_all_agencies,FY2025,excluded,"VERIFIED - NJ CSC 2025 State Government Workforce Profile: 'Separation Rate 7.8%' (5,114 separations / 65,277). Native form; in-folder 92.2% retention (100-x) rejected. Voluntary/involuntary breakout available p.22",NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - report explicitly states NJ does not publish an overall vacancy rate; two in-folder composite versions CONFLICT (8.6% vs 9.87%), both rejected",11 years (avg; median 12),https://www.nj.gov/csc/pdfs/State%20Workforce%202025%20-%2011.12.25.pdf,official_recovered,high,statewide_all_agencies,2024,excluded,VERIFIED - NJ CSC 2025 profile: average length of service 11 yrs (median 12). Native published,Publishes stability + tenure (NJ CSC annual Workforce Profile); does NOT publish an overall vacancy rate,97.4,,63.0,66.7,80.3,"KNOWN-CONFLICT resolved: 3 in-folder composite versions (vacancy 8.6% vs 9.87%, all using 100-7.8 retention) rejected, traced to single official CSC source. source_type corrected in-folder->official_recovered"
New Mexico,14.9% (voluntary; involuntary 2.3% also published),voluntary_only,https://www.spo.state.nm.us/wp-content/uploads/State-Personnel-Quarterly-Report-FY24-Q4.pdf,official_recovered,high,classified_only,FY2024,excluded,VERIFIED - NM SPO FY24 Q4 Key Performance Measures Report: voluntary turnover 14.9% (involuntary 2.3% also published; voluntary used per §2). Native form; in-folder 84 retention (100-16) rejected,22.7%,https://www.spo.state.nm.us/wp-content/uploads/State-Personnel-Quarterly-Report-FY24-Q4.pdf,official_recovered,high,classified_only,FY2024,excluded,"VERIFIED PRINTED RATE - SPO publishes 'Classified Service Vacancy Rate' FY24 avg 22.7% (quarterly 23.7/22.7/22.1/22.2) as a key performance metric. Not agent-derived; high confidence, no ruling-3. In-folder 9.5 composite rejected",NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - no published statewide tenure in SPO reports; in-folder 10 explicitly 'estimated', rejected",High - NM SPO publishes quarterly Key Performance Measures with turnover (vol/invol breakout) + vacancy rate; tenure not published,36.8,11.1,,66.7,41.0,Strong publisher. Vacancy is a printed key-performance rate (high). Voluntary turnover used per §2
New York,"11.1% (attrition, CY2023)",includes_retirements,https://www.cs.ny.gov/businesssuite/docs/workforceplans/2024.pdf,official_recovered,high,statewide_all_agencies (Civil Service jurisdiction; excl SUNY/CUNY),2023,excluded,"VERIFIED - NYS Dept of Civil Service 2024 State Workforce Management Report p.18: 14,669 vacated, attrition ~11.1% (CY2023). Native form; in-folder 89.7 retention (1-attrition) rejected. OSC gives 10.3% excl SUNY/CUNY - corroboration (diff scope), not conflict. Attrition incl retirements 34.1%",NOT_PUBLISHED,,not_published,,,,,NOT_PUBLISHED - no official state-gov vacancy rate (Civil Service/GOER/OSC/Budget); in-folder 5.9% untraced/estimated; public NY vacancy talk is NYC/local,12 years,https://www.cs.ny.gov/businesssuite/docs/workforceplans/2024.pdf,official_recovered,high,statewide_all_agencies (Civil Service jurisdiction; excl SUNY/CUNY),2024,excluded,VERIFIED - same report: 'Average length of service is 12 years' (Jan 2024). Native published,Publishes stability + tenure (NYS Civil Service Workforce Management Report; OSC corroborates); vacancy rate not published as a state-gov metric,73.7,,98.1,66.7,75.8,Attrition includes retirements (turnover measure). Two official attrition figures (11.1% CS vs 10.3% OSC) differ by scope/method - recorded as corroboration not conflict
North Carolina,"12.9% (total turnover, 2025); voluntary 11.5%",total_separation,https://oshr.nc.gov/2025-compensation-and-benefits-report/open,official_recovered,high,statewide_all_agencies (SHRA employees),2025,excluded,"VERIFIED - OSHR 2025 Compensation & Benefits Report: total turnover 12.9% (voluntary 11.5% incl retirements). Native form; in-folder 86.3 retention (100-13.7 inversion) rejected. SHRA only, university EHRA excluded",17.2%,https://oshr.nc.gov/2025-compensation-and-benefits-report/open,official_recovered,high,statewide_all_agencies (SHRA),2025,excluded,"VERIFIED PRINTED RATE - OSHR states statewide vacancy dropped 21.3% (2024) -> 17.2% (2025). Published official rate, not count-derived; high confidence, no ruling-3. In-folder news-composite vacancy rejected",11 years,https://oshr.nc.gov/2025-compensation-and-benefits-report/open,official_recovered,high,statewide_all_agencies,2025,excluded,VERIFIED - 2025 report: avg years of service 11. Supersedes in-folder 12 (2023). Native published,"High - OSHR annual Compensation & Benefits Report publishes turnover (total+voluntary), vacancy rate, and tenure. All three published",63.2,44.4,63.0,100.0,72.4,Full coverage from authoritative OSHR source; prior-audit unverified 13.7%/composite/12yr all superseded. Printed vacancy rate (high)
North Dakota,12%,total_separation,https://ndlegis.gov/assembly/69-2025/interim/27-5035-03000-meeting-minutes.pdf,official_recovered,high,statewide_all_agencies,2024,excluded,"VERIFIED - ND Employee Benefits Programs Committee minutes record HRMS/OMB CPO stating turnover 12% (2024), 13% (2023), 14% (2022). Official gov data in official legislative minutes (not news - no ruling-1). Native form; in-folder 88 retention (100-12) rejected. Excludes higher ed",NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - only single-agency count-derived figures (HHS 12.3%, DOCR ~24%, K-12 2.73%); in-folder 15.2% FTE-weighted composite rejected",NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - no official tenure; in-folder 10 explicitly 'Estimated due to lack of data', rejected",Publishes stability (turnover reported annually to legislature); does NOT publish vacancy rate or tenure,68.4,,,33.3,56.1,Single-metric (stability). Official data via legislative committee minutes treated as full official (not ruling-1)
Ohio,NOT_PUBLISHED,,,not_published,,,,,NOT_PUBLISHED - in-folder retention 'assumed 90%' (estimation trigger) rejected; DAS trend reports are headcount-only; DAS annual reports FY23-25 contain no turnover data; Reason has no Ohio figure,NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - in-folder ~12% is a sector-weighted composite of single-agency news figures (partly estimated), rejected; no official statewide vacancy document",NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - in-folder 12 'estimated'; only real figure OPERS 22.9 yrs is service AT RETIREMENT across all ~282k OPERS members (counties/cities/higher ed), fails population_match. No official state-gov tenure",Limited - Ohio publishes salary (OpenGovPay) + monthly headcount trend reports only; NONE of the three D2 metrics officially published for state-gov employees,,,,0.0,0.0,FIRST TRUE CATEGORY 3 STATE - all three NOT_PUBLISHED. Tier C weight redistributes to Tier B in Phase 3. Genuine absence after real web recovery (DAS annual reports fetched and searched)
Oklahoma,21.59% overall; 17.48% voluntary (FY2025),includes_retirements,https://oklahoma.gov/content/dam/ok/en/omes/documents/2025-compensation-report-UA.pdf,official_recovered,high,statewide_all_agencies,FY2025,excluded,"VERIFIED - OMES 2025 Annual Compensation Report Table 3/10: overall turnover 21.59%, voluntary 17.48% (breakout published, usable §2). Native form; in-folder 77.58% retention (100-x) rejected. Higher-ed separate HR systems",NOT_PUBLISHED,,not_published,,,,,NOT_PUBLISHED - OMES reports publish no vacancy rate; in-folder ~7.5% composite (K-12 teachers + single-agency + 'ESTIMATED' sectors) rejected,9.87 years,https://oklahoma.gov/content/dam/ok/en/omes/documents/2025-compensation-report-UA.pdf,official_recovered,high,statewide_all_agencies,FY2025,excluded,VERIFIED - OMES 2025 report: 'average benchmark years of service 9.87 years'. Native published (annual-leave-benchmark context),Publishes turnover (overall+voluntary) + tenure (OMES Annual Compensation Report); no vacancy rate,5.3,,37.0,66.7,32.7,Voluntary breakout available per §2. High-turnover state (21.59%)
Oregon,NOT_PUBLISHED,,,not_published,,,,,"NOT_PUBLISHED - dead link (source URL 404s); content was index-confirmed but link is dead per ruling 6 [preserved: value='4.45% (voluntary resignation rate; EXCLUDES layoffs, involuntary, retirement)' url='https://www.oregonlegislature.gov/lfo/APPR/APPR_DAS_2025-09-30.pdf']",9.9%,https://www.oregon.gov/das/strategy/Documents/2025-09-29-Report.pdf,official_recovered,high,executive_branch_only,2025,excluded,"VERIFIED - DAS Oregon Agency Expectations Progress Report (Q2 2025) prints statewide exec-branch vacancy 9.9% (43,412 positions / 4,277 vacant). Printed statewide rate = high (though also a grand-total; if grand-total clause controls, downgrade to ruling-3/low). In-folder 9.18% composite rejected",NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - DAS Salary & Benefit Report has no years-of-service; in-folder 11 explicitly 'estimated', rejected",Publishes voluntary turnover (DAS KPM) + vacancy (Agency Expectations reports); tenure not published,,88.9,,33.3,69.4,MAJOR COMPARABILITY FLAG: stability is voluntary-RESIGNATION-only 4.45% (excludes retirement+involuntary) - not comparable to total-turnover states (e.g. OK 21.59%). Illustrates definitional heterogeneity within the turnover pool for §9. Stability URL 404 spot-check | RULING6 (borderline): stability EXCLUDED - source URL returns 404 (dead link). NB content was confirmed via search-engine index at collection; flagged for possible reinstatement if you deem index-confirmation sufficient
Pennsylvania,11% (turnover),unclear,https://reason.org/commentary/alaska-retaining-public-workers-better-than-most-states/,third_party_proxy,low,unclear,2022,INCLUDES_HIGHER_ED,THIRD_PARTY_PROXY - no official PA turnover rate found (OA dashboards carry no printed rate). Reason states verbatim 'New York and Pennsylvania reported lower turnover rates of 11%'. Native turnover; in-folder 90% retention (1-turnover 'estimated') rejected. Reason scope/year/higher-ed unstated -> low,7%,https://www.governing.com/workforce/pennsylvania-focuses-on-attracting-keeping-workers,official_via_secondary,medium,statewide_all_agencies,2025,excluded,"PROVISIONAL (pending ruling 1) - PA OA figure via Governing (Oct 2025): 'vacancy rate declined from 10% to 7%', attributed to OA. Gov data via news. Exec branch, PASSHE excluded",10.96 yrs (male) / 10.35 yrs (female) - no blended figure published,https://sers.pa.gov/pdf/ACFR/2024_SERS_ACFR.pdf,official_recovered,low,unclear,2024,INCLUDES_HIGHER_ED,"SERS 2024 ACFR p.88: Average Service Male 10.96, Female 10.35. No single blended average printed; in-folder 10.8 blend rejected. SERS spans 35+ employers incl PASSHE -> INCLUDES_HIGHER_ED, broader than exec branch -> low","Partial - OA dashboards (no printed rate), SERS ACFR tenure, OA vacancy via press. Stability only via Reason proxy",76.3,100.0,51.9,100.0,86.0,"MIXED-TIER, all low: stability=Reason proxy (2nd proxy state), vacancy=gov-via-news (ruling 1), tenure=SERS gender-split + INCLUDES_HIGHER_ED. Second segmented pattern (gender). First higher-ed-bundled tenure via pension breadth | RULING1: vacancy is official data relayed via secondary source -> official_via_secondary, confidence=medium"
Rhode Island,NOT_PUBLISHED,,,not_published,,,,,"NOT_PUBLISHED - in-folder 90% retention self-labeled 'ESTIMATED', rejected; RI DHR publishes no turnover/retention rate; NIRS is trend analysis not a rate; no Reason figure",NOT_PUBLISHED,,not_published,,,,,NOT_PUBLISHED - in-folder 12.4% composite of 4 agency estimates rejected; no printed statewide vacancy rate,NOT_PUBLISHED,,not_published,,,,,NOT_PUBLISHED - in-folder 15.7 is ERSRI all-members pension service that bundles non-state TEACHERS (population_match fail); no state-gov tenure figure,Low - RI DHR publishes no stability/vacancy/tenure metrics; longevity data only via pension (bundles teachers) or third-party,,,,0.0,0.0,CATEGORY 3 (all three NOT_PUBLISHED). Genuine absence after real recovery
South Carolina,NOT_PUBLISHED,,,not_published,,,,,"NOT_PUBLISHED - InsideSC dashboards publish hires/separations as COUNTS only (rate construction forbidden §5); in-folder 87%/88% retention BOTH 'Estimated' (known-conflict), rejected; no Reason figure",NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - InsideSC publishes vacancy COUNTS, no printed rate; in-folder 9.11% estimated composite rejected",NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - years-of-service is an interactive per-category dashboard breakout, no printed statewide figure (format-blocked); in-folder 9.46 derived from distribution, rejected","Publishes extensively (InsideSC dashboards) but as COUNTS + interactive breakouts, NOT printed D2 rates",,,,0.0,0.0,"CATEGORY 3. KNOWN-CONFLICT confirmed (87 vs 88 retention, both estimated). A statewide tenure likely exists inside the live Tableau but not retrievable as printed (format-blocked, like MA tenure)"
South Dakota,NOT_PUBLISHED,,,not_published,,,,,NOT_PUBLISHED - in-folder 'Retention rate (est.) 0.85' rejected; BHR publishes no turnover report; budget docs have only agency/program-specific measures; DOC single-agency; no Reason figure,NOT_PUBLISHED,,not_published,,,,,NOT_PUBLISHED - in-folder composite (incl school-district teachers + 'est.' sectors) rejected; no grand-total vacancy doc,NOT_PUBLISHED,,not_published,,,,,NOT_PUBLISHED - in-folder 'Average tenure (est.) 9 years' rejected; no BHR/budget tenure figure,Low - BHR publishes classification/comp + handbook only; no statewide workforce metrics. Category 3,,,,0.0,0.0,"CATEGORY 3. Prior-audit SD low-reliability flag confirmed after genuine recovery (BHR site, FY25/26 budget PDFs, BLS, DOE, Reason)"
Tennessee,17.05% total; 11.91% voluntary (2024),total_separation,https://www.tn.gov/content/dam/tn/hr/documents/2024_DOHR_Annual_Report.pdf,official_recovered,high,statewide_all_agencies,2024,excluded,"VERIFIED - TN DOHR 2024 State of the State Employee Report: total turnover 17.05%, voluntary 11.91% (exec branch 16.64%/11.61%). Native form; in-folder 80.26 retention (100-19.74) rejected. Recovered via Wayback (live tn.gov reset HTTP 000). UT/TBR universities excluded",NOT_PUBLISHED,,not_published,,,,,NOT_PUBLISHED - DOHR reports 'Average Time to Fill' not a vacancy rate; in-folder 9.7% composite of sector estimates rejected,NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - DOHR gives 'Staffing by Generation' + service awards, no avg years-of-service; in-folder 11.5 'Estimated', rejected",High for stability - DOHR annual report publishes turnover (total+voluntary by branch); does NOT publish vacancy rate or tenure,22.4,,,33.3,26.2,Single-metric (stability). Voluntary breakout available per §2. 2023 alt: total 19.74%
Texas,15.4% (FY2025),total_separation,https://sao.texas.gov/Reports/Main/26-703.pdf,official_recovered,high,classified_only,FY2025,excluded,VERIFIED - SAO Annual Report on Classified Employee Turnover FY2025 (26-703): statewide turnover 15.4% (voluntary 74.0% of separations). Native form; in-folder 81.3 retention (100-18.7) rejected. 15-yr low. Comptroller USPS/SPRS payroll; higher-ed excluded,NOT_PUBLISHED,,not_published,,,,,NOT_PUBLISHED - no statewide vacancy rate; in-folder 13.56% composite rejected; agency figures (TDCJ ~25%) single-agency,NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - SAO publishes per-agency length of service only, no statewide aggregate; in-folder 8.7 is a 217-person union survey, rejected",High for stability - SAO publishes annual statewide classified turnover; statewide vacancy and statewide tenure NOT published (per-agency only),34.2,,,33.3,33.9,Single-metric (stability). Turnover incl retirements; voluntary 74% of separations published
Utah,28% (turnover),unclear,https://reason.org/commentary/alaska-retaining-public-workers-better-than-most-states/,third_party_proxy,low,unclear,2022,INCLUDES_HIGHER_ED,"THIRD_PARTY_PROXY - Reason states verbatim 'Utah (28%)'. Reason confirms an official DHRM workforce report with turnover EXISTS but it was not web-recoverable this pass (dhrm.utah.gov exposes no report page; LFA 'Turnover Savings Factor' is a budget metric, rejected). In-folder 86% retention traced to U-of-Utah Gardner Institute (not the state agency) + unverifiable, rejected. Scope/year/higher-ed unstated -> low",NOT_PUBLISHED,,not_published,,,,,NOT_PUBLISHED - in-folder 2.9% composite (school-district teachers + single-agency + 'ESTIMATED') rejected; no printed statewide vacancy rate,NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - in-folder 9 explicitly 'Estimated', rejected; no official tenure figure",Partial - Utah IS among the 24 states publishing turnover (per Reason) but the DHRM report was not web-recoverable; vacancy/tenure not found,0.0,,,33.3,11.7,"3rd Reason-proxy stability state (AK, PA, UT). SPOT-CHECK LEAD: DHRM workforce report with 28% confirmed to exist - locating it would promote stability to tier-2 high and clarify scope/year"
